longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value (Predictions),median_house_value (Actual)
-117.21,33.34,10.0,5294.0,817.0,2312.0,810.0,5.4563,<1H OCEAN,321449.07,325700.0
-120.68,37.47,33.0,1028.0,226.0,658.0,197.0,2.3043,INLAND,105267.0,66300.0
-122.83,38.96,15.0,1318.0,296.0,567.0,276.0,1.8692,INLAND,86124.0,93800.0
-122.22,37.37,26.0,440.0,202.0,322.0,218.0,5.1831,NEAR OCEAN,407314.33,350000.0
-116.87,32.75,15.0,2053.0,321.0,993.0,309.0,5.5164,<1H OCEAN,193128.0,248900.0
-118.39,33.79,30.0,4402.0,563.0,1582.0,551.0,10.898,NEAR OCEAN,500001.0,500001.0
-117.13,32.74,46.0,3355.0,768.0,1457.0,708.0,2.6604,NEAR OCEAN,175829.0,170100.0
-122.45,37.74,38.0,5688.0,930.0,2263.0,908.0,6.203,NEAR BAY,410504.14,346800.0
-122.47,38.29,14.0,3732.0,846.0,1277.0,775.0,2.5658,NEAR BAY,193957.0,208000.0
-122.54,37.95,38.0,2310.0,400.0,971.0,386.0,5.697,NEAR BAY,389696.03,435700.0
-123.1,38.79,20.0,3109.0,712.0,1643.0,638.0,2.8344,<1H OCEAN,146432.0,164400.0
-117.07,32.56,9.0,3648.0,895.0,3293.0,840.0,3.0992,NEAR OCEAN,161118.0,142600.0
-118.43,34.08,46.0,778.0,90.0,238.0,93.0,15.0001,<1H OCEAN,478426.74,500001.0
-122.05,36.97,16.0,3363.0,611.0,1603.0,556.0,4.2542,NEAR OCEAN,284839.02,294100.0
-122.25,37.49,43.0,2607.0,477.0,1225.0,461.0,4.224,NEAR OCEAN,338666.02,349600.0
-117.87,34.14,30.0,2495.0,586.0,1139.0,559.0,2.9375,INLAND,169916.0,209200.0
-118.2,34.05,42.0,1703.0,586.0,2490.0,581.0,2.02,<1H OCEAN,144277.0,147200.0
-121.32,37.94,36.0,40.0,10.0,64.0,14.0,2.625,INLAND,173237.18,55000.0
-120.96,38.66,11.0,2339.0,436.0,1062.0,380.0,3.9036,INLAND,158711.0,180800.0
-120.43,34.96,24.0,2739.0,414.0,1171.0,413.0,4.8155,<1H OCEAN,206555.0,162900.0
-122.28,37.9,52.0,2003.0,250.0,658.0,244.0,10.0825,NEAR BAY,493396.92,397000.0
-122.0,37.08,17.0,4154.0,739.0,2149.0,693.0,5.5919,NEAR OCEAN,301239.0,373400.0
-118.34,33.87,34.0,1069.0,217.0,601.0,212.0,4.6406,<1H OCEAN,280609.0,255900.0
-118.52,34.21,36.0,1328.0,287.0,823.0,273.0,4.5648,<1H OCEAN,204574.0,193700.0
-118.22,34.09,42.0,1706.0,488.0,1941.0,447.0,2.5213,<1H OCEAN,150590.0,149700.0
-118.27,34.1,51.0,3149.0,519.0,1082.0,510.0,6.4459,<1H OCEAN,468009.53,421600.0
-117.58,34.02,4.0,5998.0,1092.0,3182.0,1042.0,5.2692,INLAND,177658.0,174800.0
-118.22,34.08,31.0,394.0,117.0,573.0,131.0,1.8173,<1H OCEAN,144593.0,154200.0
-121.78,36.93,21.0,2794.0,662.0,2236.0,565.0,2.4053,<1H OCEAN,161106.0,178400.0
-117.36,33.18,39.0,1546.0,291.0,833.0,308.0,2.8893,NEAR OCEAN,240918.0,185400.0
-119.01,35.36,24.0,1941.0,484.0,1277.0,435.0,1.056,INLAND,55979.0,51600.0
-117.81,34.11,21.0,3481.0,808.0,1866.0,746.0,3.6201,INLAND,170736.0,150400.0
-118.1,34.02,33.0,1143.0,172.0,508.0,174.0,4.9107,<1H OCEAN,200790.0,279900.0
-117.03,32.96,16.0,3424.0,698.0,1940.0,645.0,4.121,<1H OCEAN,174134.0,182100.0
-122.23,39.75,16.0,2026.0,396.0,1031.0,382.0,1.9375,INLAND,84035.0,73100.0
-121.96,37.1,20.0,922.0,155.0,361.0,135.0,6.3617,<1H OCEAN,312637.0,331500.0
-121.06,39.04,15.0,1999.0,287.0,585.0,246.0,5.5161,INLAND,202422.0,361900.0
-118.1,34.09,46.0,2822.0,525.0,1434.0,520.0,3.8906,<1H OCEAN,239691.01,238300.0
-118.32,33.95,44.0,2131.0,360.0,1040.0,330.0,5.0912,<1H OCEAN,227128.01,169800.0
-122.21,37.44,35.0,1140.0,193.0,486.0,199.0,4.6908,NEAR OCEAN,339090.2,500001.0
-118.19,34.1,39.0,2054.0,423.0,1205.0,403.0,4.239,<1H OCEAN,213544.0,213000.0
-122.38,40.09,16.0,2077.0,388.0,1155.0,389.0,3.1361,INLAND,105303.0,84800.0
-117.3,33.06,31.0,2128.0,520.0,1049.0,485.0,4.027,NEAR OCEAN,344842.21,290000.0
-122.13,37.71,44.0,1421.0,298.0,609.0,270.0,3.5781,NEAR BAY,190401.0,180000.0
-118.29,33.98,44.0,2261.0,555.0,1348.0,455.0,1.9125,<1H OCEAN,105012.0,97200.0
-121.53,39.52,30.0,1030.0,161.0,448.0,159.0,2.4821,INLAND,71451.0,73800.0
-120.47,34.65,16.0,2549.0,428.0,1486.0,432.0,4.2875,NEAR OCEAN,176628.0,150700.0
-118.3,34.0,52.0,1718.0,354.0,1026.0,312.0,2.0,<1H OCEAN,114764.0,128000.0
-118.22,33.8,33.0,1984.0,477.0,1764.0,440.0,3.875,NEAR OCEAN,174658.01,165100.0
-118.27,33.97,39.0,2569.0,688.0,2601.0,630.0,2.0754,<1H OCEAN,112719.0,101400.0
-118.34,34.06,52.0,1311.0,310.0,707.0,290.0,3.4812,<1H OCEAN,395343.08,432800.0
-119.21,34.18,13.0,6103.0,1319.0,2986.0,1212.0,3.9718,NEAR OCEAN,255140.07,215200.0
-117.83,33.81,24.0,3550.0,895.0,2828.0,834.0,2.8403,<1H OCEAN,177906.0,225600.0
-118.85,34.18,11.0,5873.0,1455.0,3089.0,1365.0,3.5504,<1H OCEAN,234454.01,173800.0
-118.37,36.19,10.0,443.0,111.0,48.0,21.0,3.125,INLAND,84997.0,71300.0
-121.85,37.39,15.0,8748.0,1547.0,4784.0,1524.0,5.8322,<1H OCEAN,269546.0,276600.0
-118.37,33.85,25.0,5622.0,998.0,2537.0,1009.0,5.785,<1H OCEAN,332464.03,395300.0
-118.96,35.37,32.0,1025.0,259.0,874.0,236.0,1.9612,INLAND,58259.0,53400.0
-120.64,35.65,9.0,3466.0,673.0,2356.0,619.0,2.9926,<1H OCEAN,165038.0,158200.0
-118.41,34.19,42.0,779.0,145.0,450.0,148.0,3.9792,<1H OCEAN,204804.0,193800.0
-122.53,37.95,22.0,7446.0,1979.0,2980.0,1888.0,3.5838,NEAR BAY,273279.01,271300.0
-117.33,34.15,28.0,1473.0,333.0,1196.0,312.0,1.6993,INLAND,74743.0,67800.0
-117.23,33.57,6.0,13724.0,2269.0,5860.0,1986.0,3.9617,<1H OCEAN,176314.0,183000.0
-120.44,37.28,12.0,2855.0,598.0,1658.0,586.0,2.3929,INLAND,97927.0,81100.0
-117.2,33.7,23.0,6323.0,1196.0,1984.0,1124.0,2.3276,<1H OCEAN,134897.0,92400.0
-121.34,38.64,12.0,2772.0,578.0,1335.0,565.0,3.8068,INLAND,142235.0,161000.0
-117.28,34.12,36.0,2991.0,822.0,2378.0,751.0,1.3571,INLAND,73655.0,70600.0
-119.48,36.5,32.0,3451.0,625.0,1968.0,574.0,2.9554,INLAND,77752.0,110300.0
-122.04,37.04,17.0,4977.0,994.0,1987.0,947.0,3.8854,NEAR OCEAN,264708.02,312300.0
-118.45,34.03,39.0,1657.0,402.0,931.0,363.0,3.7813,<1H OCEAN,400206.34,336300.0
-117.47,33.92,18.0,3869.0,773.0,2500.0,726.0,3.6583,INLAND,125230.0,126100.0
-121.94,37.75,16.0,5121.0,735.0,2464.0,761.0,6.6204,<1H OCEAN,310560.0,296100.0
-117.28,34.51,10.0,4676.0,884.0,2845.0,812.0,3.0181,INLAND,99393.0,100400.0
-120.95,35.44,30.0,6346.0,1410.0,1769.0,887.0,2.6864,NEAR OCEAN,236725.0,283600.0
-117.9,33.97,23.0,7353.0,1255.0,4014.0,1124.0,5.4155,<1H OCEAN,268770.0,213200.0
-120.77,38.38,15.0,4221.0,816.0,1737.0,743.0,2.3125,INLAND,115352.0,128600.0
-116.93,32.8,19.0,1867.0,538.0,1219.0,468.0,2.0685,<1H OCEAN,127626.0,130000.0
-118.13,33.81,34.0,1903.0,343.0,928.0,349.0,5.395,<1H OCEAN,252132.0,241900.0
-117.4,33.95,46.0,2189.0,423.0,866.0,389.0,3.1384,INLAND,122987.0,111500.0
-122.07,37.96,34.0,1692.0,290.0,836.0,289.0,5.0172,NEAR BAY,216192.01,197100.0
-123.71,39.88,42.0,1518.0,383.0,656.0,303.0,1.4952,NEAR OCEAN,97170.0,69800.0
-122.72,38.58,4.0,7042.0,1100.0,2936.0,1043.0,5.0555,<1H OCEAN,225730.01,240800.0
-117.77,33.72,9.0,2153.0,316.0,954.0,324.0,7.8139,<1H OCEAN,348944.02,304700.0
-117.93,34.07,34.0,1409.0,305.0,819.0,273.0,3.3977,<1H OCEAN,191897.0,188800.0
-118.41,34.07,52.0,1202.0,142.0,408.0,138.0,15.0001,<1H OCEAN,499831.99,500001.0
-120.07,36.97,28.0,1563.0,403.0,1564.0,408.0,1.5662,INLAND,53036.0,48000.0
-119.27,36.05,29.0,1016.0,174.0,481.0,140.0,2.2917,INLAND,63583.0,112500.0
-120.82,37.05,15.0,1385.0,288.0,775.0,255.0,1.933,INLAND,86563.0,140600.0
-121.43,38.54,42.0,3321.0,688.0,1346.0,658.0,2.4618,INLAND,105238.0,101300.0
-120.44,34.96,30.0,1685.0,315.0,1290.0,368.0,3.4722,<1H OCEAN,153188.0,112500.0
-120.35,37.95,13.0,2104.0,407.0,960.0,401.0,2.4,INLAND,110975.0,177000.0
-118.17,33.95,23.0,1991.0,584.0,1380.0,535.0,1.9107,<1H OCEAN,157378.0,181900.0
-121.57,39.5,31.0,2023.0,469.0,1073.0,436.0,1.5714,INLAND,56336.0,56100.0
-117.82,33.88,18.0,1982.0,300.0,1027.0,324.0,7.0526,<1H OCEAN,285411.0,327500.0
-121.9,37.44,4.0,1646.0,408.0,853.0,410.0,5.0821,<1H OCEAN,238360.01,265500.0
-121.45,38.54,38.0,1865.0,384.0,1052.0,354.0,1.7891,INLAND,65830.0,60500.0
-119.81,36.83,19.0,6789.0,1200.0,2325.0,1109.0,4.049,INLAND,117046.0,126000.0
-118.36,33.8,34.0,2629.0,369.0,966.0,375.0,10.1241,NEAR OCEAN,498570.98,500001.0
-117.68,33.59,8.0,2327.0,263.0,899.0,236.0,14.9009,<1H OCEAN,489264.48,500001.0
-118.04,33.88,17.0,4807.0,838.0,3059.0,853.0,5.7619,<1H OCEAN,286174.0,297300.0
-118.43,34.01,41.0,1527.0,279.0,746.0,285.0,6.4232,<1H OCEAN,440455.33,446600.0
-122.71,38.5,15.0,5645.0,830.0,2324.0,769.0,6.6104,<1H OCEAN,323548.01,330900.0
-121.83,36.6,30.0,2748.0,502.0,1491.0,535.0,4.3472,<1H OCEAN,229680.01,185000.0
-120.82,35.31,16.0,3924.0,699.0,1325.0,638.0,2.5172,NEAR OCEAN,215788.01,293900.0
-120.06,36.95,24.0,646.0,134.0,454.0,149.0,2.125,INLAND,72548.0,61900.0
-122.14,37.68,31.0,3184.0,716.0,1561.0,628.0,2.7955,NEAR BAY,170929.0,183100.0
-116.46,33.78,25.0,1137.0,414.0,604.0,240.0,1.3801,INLAND,80604.0,55000.0
-121.09,38.19,23.0,762.0,140.0,358.0,141.0,2.4545,INLAND,121777.0,105000.0
-121.32,38.57,15.0,3369.0,499.0,1733.0,470.0,5.31,INLAND,179684.0,127500.0
-120.99,37.66,30.0,1718.0,395.0,914.0,400.0,1.933,INLAND,89414.0,107000.0
-122.22,37.79,37.0,2343.0,574.0,1608.0,523.0,2.1494,NEAR BAY,127039.0,132500.0
-122.47,37.78,52.0,2169.0,522.0,1220.0,505.0,3.1989,NEAR BAY,424596.03,446900.0
-117.91,33.61,40.0,2790.0,531.0,952.0,424.0,4.8,<1H OCEAN,431968.42,500001.0
-121.53,39.06,20.0,561.0,109.0,308.0,114.0,3.3021,INLAND,115027.0,70800.0
-117.04,32.83,8.0,2205.0,348.0,777.0,341.0,6.0266,<1H OCEAN,285165.05,177400.0
-118.13,34.11,52.0,2568.0,345.0,1102.0,345.0,9.1373,<1H OCEAN,488690.82,500001.0
-122.32,38.06,4.0,7999.0,1611.0,3596.0,1396.0,5.0969,NEAR BAY,195600.0,174200.0
-121.73,37.68,17.0,20354.0,3493.0,8768.0,3293.0,5.4496,INLAND,226420.0,238900.0
-118.98,35.4,36.0,1864.0,331.0,1052.0,325.0,3.4205,INLAND,82815.0,76600.0
-121.9,37.25,28.0,2714.0,502.0,1389.0,490.0,5.7385,<1H OCEAN,296893.01,240400.0
-121.3,38.69,13.0,2135.0,429.0,779.0,432.0,3.6995,INLAND,127414.0,134900.0
-115.64,32.75,19.0,377.0,69.0,198.0,55.0,1.625,INLAND,71384.0,112500.0
-117.89,33.76,34.0,1050.0,210.0,723.0,201.0,4.8,<1H OCEAN,193421.0,192700.0
-118.36,33.92,46.0,1231.0,231.0,793.0,256.0,4.1023,<1H OCEAN,213535.0,226800.0
-117.06,32.58,11.0,2879.0,679.0,2098.0,673.0,3.5125,NEAR OCEAN,136015.0,142400.0
-115.49,32.67,25.0,2322.0,573.0,2185.0,602.0,1.375,INLAND,68038.0,70100.0
-117.31,34.09,34.0,1336.0,345.0,1009.0,311.0,1.608,INLAND,71789.0,73700.0
-121.03,39.21,28.0,2843.0,535.0,1310.0,525.0,3.2337,INLAND,163597.0,123100.0
-117.05,32.72,35.0,1777.0,369.0,1158.0,353.0,3.4107,NEAR OCEAN,128407.0,117000.0
-117.95,33.92,18.0,2825.0,660.0,1590.0,643.0,3.6106,<1H OCEAN,185643.0,153600.0
-119.01,35.31,19.0,7092.0,1517.0,4101.0,1436.0,2.1006,INLAND,75257.0,74800.0
-119.17,34.27,18.0,8010.0,1539.0,3982.0,1483.0,4.0905,NEAR OCEAN,233237.02,236500.0
-118.07,34.14,42.0,3200.0,685.0,1668.0,628.0,3.375,INLAND,236158.0,260400.0
-122.23,38.1,46.0,4143.0,895.0,2240.0,847.0,2.4201,NEAR BAY,121738.01,92800.0
-117.75,34.06,52.0,62.0,9.0,44.0,16.0,0.4999,INLAND,303418.36,112500.0
-118.27,33.81,42.0,865.0,208.0,811.0,218.0,3.8621,<1H OCEAN,175111.0,165300.0
-121.32,38.0,21.0,1795.0,482.0,1114.0,472.0,2.0091,INLAND,95804.0,101500.0
-118.99,36.06,19.0,2153.0,458.0,1317.0,386.0,1.7564,INLAND,58689.0,42600.0
-122.37,40.54,28.0,2213.0,390.0,1096.0,378.0,3.6923,INLAND,103119.0,86900.0
-120.39,37.98,52.0,1056.0,274.0,584.0,255.0,2.1513,INLAND,104316.0,86700.0
-118.33,34.11,48.0,1601.0,464.0,784.0,461.0,3.0642,<1H OCEAN,307032.07,342900.0
-118.08,33.89,37.0,1152.0,259.0,981.0,225.0,3.2857,<1H OCEAN,157221.0,153600.0
-117.25,33.36,6.0,3725.0,960.0,2833.0,915.0,2.3214,<1H OCEAN,152114.0,247000.0
-119.15,36.29,18.0,1435.0,,657.0,254.0,2.4281,INLAND,79066.0,72500.0
-117.63,33.94,36.0,447.0,95.0,2886.0,85.0,4.2578,INLAND,189450.07,183300.0
-118.55,34.19,18.0,5862.0,,3161.0,1280.0,3.1106,<1H OCEAN,217632.01,170600.0
-117.89,33.71,16.0,1591.0,225.0,926.0,239.0,6.2452,<1H OCEAN,260429.0,266300.0
-117.69,33.66,5.0,4246.0,689.0,1933.0,722.0,6.9501,<1H OCEAN,313734.02,225700.0
-118.35,33.88,25.0,1459.0,362.0,1150.0,354.0,3.35,<1H OCEAN,245030.0,237500.0
-118.09,34.16,45.0,2199.0,358.0,942.0,353.0,5.0393,INLAND,348722.0,321100.0
-121.05,39.11,7.0,2767.0,423.0,1143.0,382.0,3.6333,INLAND,171301.0,170200.0
-118.21,34.1,40.0,1684.0,316.0,795.0,330.0,5.2723,<1H OCEAN,326837.03,218300.0
-119.04,36.07,17.0,2623.0,659.0,1912.0,618.0,1.5893,INLAND,60644.0,52000.0
-117.3,34.15,33.0,1607.0,282.0,608.0,260.0,4.3438,INLAND,138856.0,115000.0
-117.75,34.06,44.0,477.0,135.0,502.0,117.0,2.0156,INLAND,99902.0,112500.0
-114.61,33.62,16.0,1187.0,261.0,1115.0,242.0,2.1759,INLAND,63545.0,61500.0
-117.61,34.13,21.0,8416.0,1386.0,4308.0,1341.0,4.4611,INLAND,177831.0,164600.0
-118.11,34.05,23.0,3436.0,565.0,1729.0,529.0,5.9941,<1H OCEAN,290700.0,266700.0
-118.95,35.26,24.0,1341.0,214.0,667.0,184.0,4.0,INLAND,97962.0,94500.0
-118.35,33.9,25.0,3309.0,902.0,2299.0,837.0,3.0417,<1H OCEAN,216958.0,237000.0
-122.89,38.93,20.0,1214.0,247.0,504.0,223.0,2.7188,<1H OCEAN,178141.0,105700.0
-121.89,36.6,40.0,626.0,164.0,337.0,150.0,2.7917,<1H OCEAN,218516.0,225000.0
-118.31,34.26,34.0,1797.0,363.0,948.0,363.0,4.1339,<1H OCEAN,239741.01,187300.0
-122.01,37.25,31.0,1574.0,193.0,551.0,191.0,10.2311,<1H OCEAN,498941.98,500001.0
-118.37,34.04,43.0,888.0,170.0,514.0,161.0,3.1827,<1H OCEAN,264271.01,202800.0
-117.19,32.76,52.0,1294.0,175.0,434.0,180.0,5.7914,NEAR OCEAN,340140.11,500001.0
-119.71,36.8,17.0,2056.0,366.0,1259.0,367.0,3.9338,INLAND,91068.0,84700.0
-117.28,34.68,28.0,1932.0,421.0,1156.0,404.0,1.8958,INLAND,80841.0,55600.0
-120.84,35.32,15.0,2419.0,538.0,1279.0,522.0,3.4762,NEAR OCEAN,217834.0,189600.0
-118.13,34.02,43.0,396.0,91.0,261.0,73.0,2.9044,<1H OCEAN,185519.03,172900.0
-117.02,33.6,7.0,1972.0,352.0,964.0,317.0,3.244,INLAND,139831.0,337200.0
-116.97,32.76,33.0,3071.0,466.0,1348.0,513.0,6.1768,<1H OCEAN,334970.01,228900.0
-117.71,33.61,26.0,3046.0,726.0,888.0,663.0,2.6848,<1H OCEAN,125735.0,74100.0
-121.58,39.79,19.0,2636.0,523.0,1184.0,465.0,2.7863,INLAND,98862.0,108600.0
-118.24,34.15,19.0,4852.0,1465.0,3171.0,1332.0,2.5924,<1H OCEAN,223994.0,192900.0
-122.68,38.44,29.0,2796.0,588.0,1346.0,562.0,2.9107,<1H OCEAN,179158.0,169700.0
-118.14,33.84,43.0,2107.0,439.0,876.0,429.0,3.2024,<1H OCEAN,217182.0,339400.0
-117.88,34.1,32.0,3357.0,621.0,1696.0,604.0,4.2685,<1H OCEAN,186246.0,216600.0
-117.67,33.44,25.0,2994.0,519.0,903.0,410.0,6.6852,<1H OCEAN,310496.08,500001.0
-120.47,34.64,16.0,1912.0,406.0,1009.0,417.0,3.4063,NEAR OCEAN,191824.0,138000.0
-122.22,37.47,23.0,7740.0,1943.0,4124.0,1743.0,3.3268,NEAR OCEAN,311977.16,322800.0
-122.25,37.86,52.0,1709.0,318.0,719.0,295.0,5.0463,NEAR BAY,308306.05,456300.0
-118.11,34.06,30.0,1547.0,436.0,1700.0,410.0,2.5488,<1H OCEAN,177728.0,187500.0
-122.2,39.52,39.0,2551.0,482.0,1181.0,437.0,2.0625,INLAND,65528.0,63400.0
-119.9,36.58,20.0,1935.0,363.0,1319.0,359.0,2.4814,INLAND,70224.0,74600.0
-118.26,33.79,42.0,1162.0,264.0,1044.0,241.0,3.5488,<1H OCEAN,166974.0,205600.0
-122.51,37.53,17.0,1574.0,262.0,672.0,241.0,7.2929,NEAR OCEAN,386552.2,355800.0
-118.37,33.93,46.0,442.0,88.0,255.0,94.0,4.4474,<1H OCEAN,237227.0,246900.0
-118.31,33.99,48.0,2235.0,433.0,1363.0,433.0,1.6559,<1H OCEAN,110999.0,101400.0
-117.94,33.65,15.0,2016.0,443.0,1015.0,419.0,5.2732,<1H OCEAN,252022.02,209700.0
-118.46,34.0,44.0,941.0,230.0,493.0,206.0,3.6458,<1H OCEAN,351167.05,325800.0
-122.33,37.95,46.0,1543.0,339.0,777.0,322.0,4.0927,NEAR BAY,148609.0,142600.0
-117.67,34.05,6.0,2833.0,628.0,1717.0,589.0,3.2062,INLAND,132979.0,167500.0
-118.05,33.94,34.0,495.0,120.0,527.0,130.0,1.9453,<1H OCEAN,149251.01,149000.0
-118.27,33.89,32.0,1969.0,397.0,1349.0,370.0,4.4659,<1H OCEAN,176313.0,138100.0
-117.16,33.57,2.0,20391.0,3245.0,7132.0,2716.0,3.9443,<1H OCEAN,196836.0,187300.0
-118.46,34.03,27.0,1965.0,631.0,1042.0,596.0,2.75,<1H OCEAN,339155.03,327300.0
-122.44,37.77,52.0,5604.0,1268.0,2023.0,1196.0,4.4085,NEAR BAY,445479.43,400000.0
-122.03,37.6,24.0,2077.0,383.0,1488.0,389.0,4.5721,NEAR BAY,204213.0,214700.0
-117.96,34.71,32.0,3511.0,646.0,1733.0,510.0,3.46,INLAND,98138.0,123900.0
-117.83,34.01,16.0,9446.0,1650.0,4911.0,1534.0,5.0111,<1H OCEAN,243943.0,212900.0
-118.62,34.2,29.0,2421.0,402.0,1120.0,388.0,5.0309,<1H OCEAN,242199.02,244800.0
-121.45,38.62,37.0,1534.0,315.0,1147.0,322.0,2.5643,INLAND,88997.0,59800.0
-122.48,37.71,39.0,3615.0,632.0,1571.0,615.0,5.1149,NEAR OCEAN,344728.03,314200.0
-123.22,39.15,45.0,1348.0,265.0,639.0,270.0,3.3667,<1H OCEAN,127832.0,115200.0
-122.11,37.39,36.0,1660.0,261.0,655.0,249.0,6.3967,NEAR BAY,394738.08,500001.0
-117.71,33.47,17.0,2681.0,454.0,830.0,410.0,5.5507,<1H OCEAN,283437.08,345700.0
-118.07,33.87,18.0,3405.0,556.0,1945.0,509.0,5.7652,<1H OCEAN,293540.0,299100.0
-122.11,37.66,29.0,2544.0,643.0,2332.0,603.0,3.2091,NEAR BAY,190762.0,150000.0
-117.93,34.04,30.0,1336.0,239.0,905.0,253.0,4.8854,<1H OCEAN,182474.0,178100.0
-122.03,37.39,34.0,2600.0,650.0,1994.0,650.0,4.0223,<1H OCEAN,245215.0,250200.0
